1384104255123 f0:d1:a9:14:d7:d7 -84 5785 
1384104255123 0c:68:03:ea:10:22 -84 2437 AirBears2
1384104255123 0c:68:03:ea:10:20 -85 2437 AirBears
1384104255123 0c:68:03:b8:a6:e0 -85 2462 AirBears
1384104255123 0c:68:03:ea:07:cf -86 5180 AirBears
1384104255123 08:86:3b:19:c0:60 -86 2462 Kriegsfeld
1384104255123 0c:68:03:ea:05:40 -86 2462 AirBears
1384104255123 0c:68:03:b8:3d:fd -87 5320 AirBears2
1384104255123 0c:68:03:ea:10:2d -87 5500 AirBears2
1384104255123 0c:68:03:ea:10:2e -87 5500 attwifi
1384104255123 0c:68:03:b8:a6:ed -87 5745 AirBears2
1384104255123 0c:68:03:b8:a6:ef -88 5745 AirBears
1384104255123 0c:68:03:b8:3d:fe -88 5320 attwifi
1384104255123 0c:68:03:b8:95:3d -88 5745 AirBears2
1384104255123 0c:68:03:ea:10:2f -88 5500 AirBears
1384104255123 0c:68:03:e4:4e:7f -88 5180 AirBears
1384104255123 0c:68:03:ea:05:41 -88 2462 attwifi
1384104255123 0c:68:03:d6:bc:c0 -88 2462 AirBears
1384104255123 0c:68:03:b8:a6:ee -89 5745 attwifi
1384104255123 0c:68:03:b8:3d:ff -89 5320 AirBears
1384104255123 f0:d1:a9:12:1c:b1 -89 5785 
1384104255123 0c:68:03:e4:4e:7d -90 5180 AirBears2
1384104255123 0c:68:03:b8:a4:20 -91 2462 AirBears
1384104255123 00:0f:b5:af:b2:4e -92 2462 TDPS Grad Lounge
1384104255123 f0:d1:a9:15:96:90 -92 2462 
1384104260141 f0:d1:a9:14:d7:d6 -68 2412 
1384104260141 0c:68:03:b8:95:30 -77 2437 AirBears
1384104260141 0c:68:03:b8:95:32 -78 2437 AirBears2
1384104260141 0c:68:03:b8:95:31 -78 2437 attwifi
1384104260141 0c:68:03:e4:4e:70 -80 2412 AirBears
1384104260141 0c:68:03:b8:3d:f2 -80 2462 AirBears2
1384104260141 0c:68:03:e4:4e:72 -81 2412 AirBears2
1384104260141 0c:68:03:e4:4e:71 -81 2412 attwifi
1384104260141 0c:68:03:b8:3d:f1 -82 2462 attwifi
1384104260141 f0:d1:a9:14:d7:d7 -84 5785 
1384104260141 0c:68:03:ea:07:cf -85 5180 AirBears
1384104260141 0c:68:03:b8:3d:fe -85 5320 attwifi
1384104260141 0c:68:03:ea:10:20 -85 2437 AirBears
1384104260141 0c:68:03:ea:07:ce -86 5180 attwifi
1384104260141 0c:68:03:ea:10:21 -86 2437 attwifi
1384104260141 0c:68:03:b8:a6:ef -87 5745 AirBears
1384104260141 0c:68:03:b8:3d:fd -87 5320 AirBears2
1384104260141 0c:68:03:b8:3d:ff -87 5320 AirBears
1384104260141 0c:68:03:b8:a6:e1 -87 2462 attwifi
1384104260141 0c:68:03:b8:a6:e2 -88 2462 AirBears2
1384104260141 00:0f:b5:af:b2:4e -89 2462 TDPS Grad Lounge
1384104260141 f0:d1:a9:12:1c:b1 -89 5785 
1384104260141 0c:68:03:ea:10:2f -89 5500 AirBears
1384104260141 0c:68:03:ea:10:2e -89 5500 attwifi
1384104260141 0c:68:03:d6:bc:c2 -89 2462 AirBears2
1384104260141 0c:68:03:b8:95:3e -89 5745 attwifi
1384104260141 0c:68:03:ea:10:2d -91 5500 AirBears2
1384104260141 08:86:3b:19:c0:60 -92 2462 Kriegsfeld
1384104260141 00:1c:b3:af:99:06 -92 2437 MVZ-GIS
1384104260141 00:21:29:76:24:a6 -92 2437 SimmsLab
1384104265224 f0:d1:a9:14:d7:d6 -68 2412 
1384104265224 f0:d1:a9:12:1c:b0 -71 2462 
1384104265224 0c:68:03:b8:95:32 -79 2437 AirBears2
1384104265224 0c:68:03:b8:95:30 -79 2437 AirBears
1384104265224 0c:68:03:e4:4e:70 -80 2412 AirBears
1384104265224 0c:68:03:b8:3d:f1 -81 2462 attwifi
1384104265224 0c:68:03:e4:4e:72 -82 2412 AirBears2
1384104265224 0c:68:03:b8:3d:f0 -82 2462 AirBears
1384104265224 00:0f:b5:af:b2:4e -83 2462 TDPS Grad Lounge
1384104265224 0c:68:03:ea:07:cf -85 5180 AirBears
1384104265224 0c:68:03:ea:07:ce -85 5180 attwifi
1384104265224 0c:68:03:ea:10:21 -85 2437 attwifi
1384104265224 0c:68:03:b8:3d:ff -86 5320 AirBears
1384104265224 0c:68:03:b8:3d:fe -86 5320 attwifi
1384104265224 0c:68:03:b8:a6:e0 -86 2462 AirBears
1384104265224 0c:68:03:b8:a6:ef -87 5745 AirBears
1384104265224 0c:68:03:b8:3d:fd -87 5320 AirBears2
1384104265224 0c:68:03:ea:10:2f -87 5500 AirBears
1384104265224 0c:68:03:ea:10:2e -87 5500 attwifi
1384104265224 0c:68:03:b8:a6:e2 -87 2462 AirBears2
1384104265224 0c:68:03:ea:07:cd -87 5180 AirBears2
1384104265224 0c:68:03:ea:05:41 -87 2462 attwifi
1384104265224 0c:68:03:d6:42:d0 -87 2462 AirBears
1384104265224 0c:68:03:ea:10:2d -88 5500 AirBears2
1384104265224 0c:68:03:d6:bc:c2 -89 2462 AirBears2
1384104265224 f0:d1:a9:15:96:90 -89 2462 
1384104265224 0c:68:03:e4:4e:7e -89 5180 attwifi
1384104265224 0c:68:03:b8:a6:ee -89 5745 attwifi
1384104265224 0c:68:03:b8:95:3e -90 5745 attwifi
1384104265224 f0:d1:a9:15:96:91 -90 5785 
1384104265224 0c:68:03:b8:a4:a2 -90 2462 AirBears2
1384104265224 0c:68:03:d6:bc:c1 -90 2462 attwifi
1384104265224 0c:68:03:e4:4e:7d -91 5180 AirBears2
1384104265224 90:84:0d:da:23:63 -92 2462 AckPort
1384104265224 00:23:cd:f3:8d:50 -92 2437 looy_lab
1384104270309 f0:d1:a9:14:d7:d6 -68 2412 
1384104270309 f0:d1:a9:12:1c:b0 -71 2462 
1384104270309 0c:68:03:b8:95:32 -79 2437 AirBears2
1384104270309 0c:68:03:b8:95:30 -79 2437 AirBears
1384104270309 0c:68:03:b8:3d:f0 -80 2462 AirBears
1384104270309 0c:68:03:b8:3d:f1 -81 2462 attwifi
1384104270309 0c:68:03:e4:4e:72 -82 2412 AirBears2
1384104270309 0c:68:03:e4:4e:71 -82 2412 attwifi
1384104270309 0c:68:03:ea:10:20 -84 2437 AirBears
1384104270309 0c:68:03:b8:3d:ff -85 5320 AirBears
1384104270309 0c:68:03:b8:3d:fd -86 5320 AirBears2
1384104270309 0c:68:03:b8:a6:e2 -86 2462 AirBears2
1384104270309 f0:d1:a9:15:96:90 -86 2462 
1384104270309 0c:68:03:b8:a6:e0 -86 2462 AirBears
1384104270309 0c:68:03:ea:05:41 -86 2462 attwifi
1384104270309 0c:68:03:ea:05:40 -86 2462 AirBears
1384104270309 0c:68:03:b8:3d:fe -87 5320 attwifi
1384104270309 0c:68:03:ea:07:cd -87 5180 AirBears2
1384104270309 0c:68:03:b8:a6:ee -87 5745 attwifi
1384104270309 0c:68:03:d6:42:d0 -87 2462 AirBears
1384104270309 0c:68:03:ea:10:22 -87 2437 AirBears2
1384104270309 0c:68:03:ea:05:42 -87 2462 AirBears2
1384104270309 0c:68:03:b8:a6:ef -89 5745 AirBears
1384104270309 00:0f:b5:af:b2:4e -89 2462 TDPS Grad Lounge
1384104270309 0c:68:03:ea:07:cf -89 5180 AirBears
1384104270309 0c:68:03:ea:10:2d -89 5500 AirBears2
1384104270309 0c:68:03:ea:10:2f -89 5500 AirBears
1384104270309 0c:68:03:b8:95:3e -89 5745 attwifi
1384104270309 f0:d1:a9:15:96:91 -89 5785 
1384104270309 0c:68:03:e4:4e:7d -89 5180 AirBears2
1384104270309 08:86:3b:19:c0:60 -89 2462 Kriegsfeld
1384104270309 0c:68:03:ea:10:2e -90 5500 attwifi
1384104270309 0c:68:03:d6:bc:c1 -90 2462 attwifi
1384104270309 0c:68:03:b8:95:3d -90 5745 AirBears2
1384104270309 0c:68:03:e4:4e:7f -90 5180 AirBears
1384104270309 0c:68:03:b8:a4:a0 -90 2462 AirBears
1384104270309 0c:68:03:d6:bc:c0 -90 2462 AirBears
1384104270309 0c:68:03:b8:a4:21 -91 2462 attwifi
1384104270309 00:21:29:76:24:a6 -92 2437 SimmsLab
1384104275264 f0:d1:a9:14:d7:d6 -68 2412 
1384104275264 f0:d1:a9:12:1c:b0 -71 2462 
1384104275264 0c:68:03:b8:95:30 -79 2437 AirBears
1384104275264 0c:68:03:b8:95:32 -80 2437 AirBears2
1384104275264 0c:68:03:b8:3d:f1 -81 2462 attwifi
1384104275264 0c:68:03:b8:3d:f0 -81 2462 AirBears
1384104275264 0c:68:03:b8:95:31 -81 2437 attwifi
1384104275264 0c:68:03:e4:4e:72 -82 2412 AirBears2
1384104275264 0c:68:03:e4:4e:71 -82 2412 attwifi
1384104275264 0c:68:03:b8:a6:e0 -84 2462 AirBears
1384104275264 0c:68:03:b8:a6:e2 -85 2462 AirBears2
1384104275264 0c:68:03:ea:10:22 -85 2437 AirBears2
1384104275264 0c:68:03:ea:05:42 -85 2462 AirBears2
1384104275264 0c:68:03:ea:05:40 -85 2462 AirBears
1384104275264 00:0f:b5:af:b2:4e -86 2462 TDPS Grad Lounge
1384104275264 0c:68:03:b8:3d:fe -86 5320 attwifi
1384104275264 f0:d1:a9:15:96:90 -86 2462 
1384104275264 0c:68:03:ea:05:41 -86 2462 attwifi
1384104275264 00:21:29:76:24:a6 -86 2437 SimmsLab
1384104275264 0c:68:03:ea:07:cf -87 5180 AirBears
1384104275264 0c:68:03:b8:3d:fd -87 5320 AirBears2
1384104275264 0c:68:03:ea:07:cd -87 5180 AirBears2
1384104275264 0c:68:03:e4:4e:7d -87 5180 AirBears2
1384104275264 0c:68:03:d6:bc:c0 -88 2462 AirBears
1384104275264 0c:68:03:d6:42:d2 -88 2462 AirBears2
1384104275264 0c:68:03:b8:a6:ef -89 5745 AirBears
1384104275264 0c:68:03:ea:10:2d -89 5500 AirBears2
1384104275264 0c:68:03:ea:10:2e -89 5500 attwifi
1384104275264 0c:68:03:b8:a6:ee -89 5745 attwifi
1384104275264 0c:68:03:d6:bc:c1 -89 2462 attwifi
1384104275264 0c:68:03:d6:bc:c2 -89 2462 AirBears2
1384104275264 00:1c:b3:af:99:06 -89 2437 MVZ-GIS
1384104275264 0c:68:03:b8:a4:a2 -89 2462 AirBears2
1384104275264 00:23:cd:f3:8d:50 -89 2437 looy_lab
1384104275264 0c:68:03:b8:95:3d -90 5745 AirBears2
1384104275264 0c:68:03:e4:4e:7f -90 5180 AirBears
1384104275264 0c:68:03:b8:a4:a0 -90 2462 AirBears
1384104275264 0c:68:03:ea:10:2f -91 5500 AirBears
1384104275264 0c:68:03:b8:95:3e -91 5745 attwifi
1384104275264 08:86:3b:19:c0:60 -92 2462 Kriegsfeld
1384104275264 7c:d1:c3:cd:b7:3c -92 2437 ABS.VLSB
1384104275264 f0:d1:a9:15:96:91 -93 5785 
1384104280288 f0:d1:a9:14:d7:d6 -68 2412 
1384104280288 f0:d1:a9:12:1c:b0 -71 2462 
1384104280288 0c:68:03:b8:95:30 -78 2437 AirBears
1384104280288 0c:68:03:b8:95:32 -79 2437 AirBears2
1384104280288 0c:68:03:e4:4e:72 -81 2412 AirBears2
1384104280288 0c:68:03:b8:3d:f1 -81 2462 attwifi
1384104280288 0c:68:03:e4:4e:70 -81 2412 AirBears
1384104280288 0c:68:03:b8:3d:f2 -82 2462 AirBears2
1384104280288 f0:d1:a9:14:d7:d7 -84 5785 
1384104280288 0c:68:03:ea:10:22 -85 2437 AirBears2
1384104280288 0c:68:03:ea:10:21 -85 2437 attwifi
1384104280288 0c:68:03:ea:07:cf -86 5180 AirBears
1384104280288 0c:68:03:b8:a6:e2 -86 2462 AirBears2
1384104280288 0c:68:03:ea:07:cd -86 5180 AirBears2
1384104280288 f0:d1:a9:15:96:90 -86 2462 
1384104280288 0c:68:03:ea:05:41 -86 2462 attwifi
1384104280288 0c:68:03:ea:05:40 -86 2462 AirBears
1384104280288 7c:d1:c3:cd:b7:3c -86 2437 ABS.VLSB
1384104280288 0c:68:03:b8:3d:ff -86 5320 AirBears
1384104280288 0c:68:03:b8:3d:fd -87 5320 AirBears2
1384104280288 0c:68:03:b8:3d:fe -87 5320 attwifi
1384104280288 0c:68:03:b8:a6:e0 -87 2462 AirBears
1384104280288 0c:68:03:d6:42:d2 -87 2462 AirBears2
1384104280288 0c:68:03:b8:a6:ef -89 5745 AirBears
1384104280288 00:0f:b5:af:b2:4e -89 2462 TDPS Grad Lounge
1384104280288 0c:68:03:ea:10:2d -89 5500 AirBears2
1384104280288 0c:68:03:ea:10:2f -89 5500 AirBears
1384104280288 08:86:3b:19:c0:60 -89 2462 Kriegsfeld
1384104280288 0c:68:03:d6:bc:c0 -90 2462 AirBears
1384104280288 0c:68:03:b8:95:3f -90 5745 AirBears
1384104280288 0c:68:03:b8:95:3e -91 5745 attwifi
1384104280288 0c:68:03:d6:bc:c2 -91 2462 AirBears2
1384104280288 00:1c:b3:af:99:06 -92 2437 MVZ-GIS
1384104280288 00:23:cd:f3:8d:50 -92 2437 looy_lab
1384104285273 f0:d1:a9:12:1c:b0 -65 2462 
1384104285273 f0:d1:a9:14:d7:d6 -68 2412 
1384104285273 0c:68:03:b8:95:30 -77 2437 AirBears
1384104285273 0c:68:03:b8:95:32 -78 2437 AirBears2
1384104285273 0c:68:03:b8:3d:f1 -78 2462 attwifi
1384104285273 0c:68:03:b8:3d:f2 -78 2462 AirBears2
1384104285273 0c:68:03:b8:a6:ef -79 5745 AirBears
1384104285273 0c:68:03:b8:95:31 -79 2437 attwifi
1384104285273 f0:d1:a9:15:96:90 -80 2462 
1384104285273 0c:68:03:e4:4e:70 -80 2412 AirBears
1384104285273 0c:68:03:e4:4e:71 -80 2412 attwifi
